address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,business_id,name,byob,bikeparking,businessacceptsbitcoin,businessacceptscreditcards,byappointmentonly,caters,coatcheck,corkage,dogsallowed,drivethru,goodfordancing,goodforkids,happyhour,hastv,open24hours,outdoorseating,restaurantscounterservice,restaurantsdelivery,restaurantsgoodforgroups,restaurantsreservations,restaurantstableservice,restaurantstakeout,smoking,wheelchairaccessible,alcohol_false,alcohol_beer_and_wine,alcohol_full_bar,byobcorkage_false,byobcorkage_yes_corkage,byobcorkage_yes_free,noiselevel_average,noiselevel_loud,noiselevel_quiet,noiselevel_very_loud,restaurantsattire_casual,restaurantsattire_dressy,restaurantsattire_formal,restaurantsattire_no_dress_code,restaurantspricerange2_$10_and_under,restaurantspricerange2_$11_to_30,restaurantspricerange2_$31_to_60,restaurantspricerange2_$61_and_over,wifi_false,wifi_free,wifi_paid
796 Sheppard Avenue E,North York,ON,M2K 1C3,43.7696544,-79.3748119,3,56,1,twaYBOGSIeOvJdx8EFBKeg,Sunshine Spot Restaurant,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
890 N 54th St,Chandler,AZ,85226,33.3174257,-111.9689702,3.5,99,1,WUmosjOxt_8nWByHgm8Kkg,Chipotle Mexican Grill,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"12725 W Indian School Rd, Ste A-104",Avondale,AZ,85392,33.4927898356,-112.3325602233,4,220,1,CdpBVSkL2Pljj-yP0ihb_w,Thai Orchid Garden Restaurant,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
"9780 W Northern Ave, Ste 1110",Peoria,AZ,85345,33.551926347,-112.2700158051,3.5,242,0,mBzL2_AKRD5TFQwMA6Itdg,Lone Spur Cafe,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1240 Rue Crescent,Montréal,QC,H3G 2A9,45.496716,-73.575265,4,81,1,ol-aOSZbIh46Uy3tKjciaA,Mad Hatter Pub,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
"80 Blue Jays Way, 2nd Floor",Toronto,ON,M5V 2G3,43.6452974,-79.3923967,4,124,1,K5Q2vkF5UpytV9Q1rB-5Yg,Akira Back,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
5350 East Marriott Drive,Phoenix,AZ,85054,33.683465364,-111.9658970833,3.5,89,1,MM572Htt9k_e96IKNyCEtA,stonegrill,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"1400 S Church St, Ste B",Charlotte,NC,28203,35.2190478215,-80.8576791734,4.5,354,1,7HbKKqXtZUjf6uVSHZ8wyw,Let's Meat Kbbq,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
4400 Randolph Rd,Charlotte,NC,28211,35.178036,-80.80123,3.5,121,1,Vu8Z-zbNT_InsKm4IrdeCg,Smashburger,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1960 W Germann Rd,Chandler,AZ,85286,33.2777136,-111.8753481,4,369,1,tVyLQzyhhinKcGzlZIFZjQ,Oregano's Pizza Bistro,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
7930 W Tropical Pkwy,Las Vegas,NV,89149,36.2710367,-115.267937,3,103,0,kUntNQ5P9IrRzEoHdRxV-w,Mark Rich's New York Pizza & Pasta,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
58 W Buffalo St,Chandler,AZ,85225,33.3046323,-111.8420542,3.5,97,0,t4mKn6nx7rdzLtlKb4EMXg,Sushi Eye in Motion,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
9460 S Eastern Ave,Henderson,NV,89123,36.0176074413,-115.1183900044,3.5,449,1,p8HvhJZ-_EHhmUVmZN15gg,Café Zupas,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"1405 E Sunset Rd, Ste 130",Las Vegas,NV,89119,36.0714626826,-115.1341722997,3.5,288,1,TspQ9jCczz436RiJHJQYZw,Fresh Kabob,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2400 E Missouri Ave,Phoenix,AZ,85016,33.523241,-112.0233209,4,139,1,b1m_PK-ggGR3CmBjdIyqkQ,Wrights at The Arizona Biltmore,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"10550 Southern Highlands Pky, Ste 100",Las Vegas,NV,89141,35.9974897,-115.2056326,3,52,1,PrFfdw7WuGAnrkyAIzX65g,Subway Restaurants,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
3550 W Cactus Rd,Phoenix,AZ,85029,33.596879317,-112.1356056908,3.5,115,1,niqIaJy9UXu-DS7BIUvUoA,Pizza Divino,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
20221 N 67th Ave,Glendale,AZ,85308,33.670048182,-112.2004730166,4,139,0,FiG8PzWKRYehtPPcPtOStw,Salsa Blanca,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
3755 S Las Vegas Blvd,Las Vegas,NV,89109,36.1055294,-115.1721951,4,172,0,Q4AWWdBWe_ojYX1a4ffXFQ,El Dorado Express,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
3730 Las Vegas Blvd S,Las Vegas,NV,89109,36.1065195454,-115.1769565195,4,773,1,UT6L3b7Zll_nvRidijiDSA,Five50 Pizza Bar,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
13201 Shaker Sq,Cleveland,OH,44120,41.4846805,-81.5899745,4,84,0,u1qzJu0JwbKU-HjIFjq8kw,Dewey's Coffee House,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"160 Millers Run Rd, Ste 400",Bridgeville,PA,15017,40.3580055,-80.1205692,4.5,168,1,3gnQUW3pzKE32RenMfuf9A,First Watch,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
15474 Yonge Street,Aurora,ON,L4G 1P2,44.0049563,-79.469202,4.5,65,1,qGtagj4xXNrF9rIEkiihTw,Orchid Thai,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"8378 W Thunderbird Rd, Ste 107",Peoria,AZ,85381,33.611464,-112.239517,4,196,1,pBoWsom3mZFYo9EucIWRDg,Kabuki Sushi & Grill,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
423 Queen Street West,Toronto,ON,M5V 2A5,43.6487356,-79.3952314,2.5,57,0,LuBj6jfwKsbpKy441wkRlQ,Sushi Xtra,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
657 College Street,Toronto,ON,M6G 1B7,43.6549209,-79.4163139,4,138,1,IfUkm42SB9D0m_ZbkQ711A,The Fish Store & Sandwiches,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
715 Providence Rd,Charlotte,NC,28207,35.2002817676,-80.8244345265,3.5,427,1,gwd1W_0Mgzqo3QxgXrt16Q,RuRu's Tacos + Tequila,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1941 E Oak St,Phoenix,AZ,85006,33.4727632963,-112.0394180042,4.5,227,1,IghwtXL8ZgK2dEL62Pzhrw,Tacos Huicho,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
8350 Grand Teton Dr,Las Vegas,NV,89131,36.306602,-115.2772369,3,116,1,x1fx7C_tc064cFATjl4fmQ,The Lodge at Grand Teton,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1182 St Clair Avenue W,Toronto,ON,M6E 1B4,43.678,-79.443872,4,77,1,ERnG-1q3igX3VSgm5uLZ6A,Pizza e Pazzi,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
544 Nevada Hwy,Boulder City,NV,89005,35.9770240784,-114.8382949829,4,110,1,sSEeW-U4N5TxalS58zuGrA,Jacks Place,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"6740 E McDowell Rd, Ste 102",Mesa,AZ,85215,33.467338,-111.68502,4,531,1,1QJFpZxLbHbXSKohWp9uIA,Red White & Brew,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"9500 S Eastern Ave, Ste 130",Las Vegas,NV,89123,36.0164931,-115.1170689,4,116,1,Arx42aGpdfI6XRH9lnKdaQ,GlutenZero,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
3820 E Ray Rd,Phoenix,AZ,85044,33.3175118,-112.0033901,4,384,0,poSV39UqEg-gpESXafS9-g,Angry Crab Shack,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
721 Mall Ring Cir,Henderson,NV,89014,36.069818,-115.044513,3.5,284,0,zYb4kj2R54R2YPeNm829BA,Sauce Italian Bistro & Bar,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"4232 E Chandler Blvd, Ste 4",Phoenix,AZ,85048,33.305945,-111.99117,4,83,1,lEtpTFWetCf6xnzeImLiHg,Mr Chao's Asia Bistro,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
9890 S Maryland Pkwy,Las Vegas,NV,89183,36.0101477628,-115.1363325119,3.5,146,0,o_c82LAuEV5Yr30Xp2NveA,Cicis,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
301 N Neil St,Champaign,IL,61820,40.1190386,-88.2438816,3.5,130,0,VHsNB3pdGVcRgs6C3jt6Zg,Dublin O'Neil's,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"4821 Spring Mountain Rd, Ste G",Las Vegas,NV,89102,36.124884,-115.207619,4.5,999,1,e3PBfbtXUjMziX6XGsOMoA,Cafe Sanuki,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
308 N 2nd Ave,Phoenix,AZ,85003,33.4517982,-112.0769327,4,601,1,Ns20WGWn6s6niKAGIQB4UQ,Crescent Ballroom,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
14225 W Grand Ave,Surprise,AZ,85374,33.6522903,-112.3689358,3,172,1,lVN1516THpVQ7NtU7f-eNw,Outback Steakhouse,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1008 Wilson Avenue,North York,ON,M3K 1G6,43.728540699999996,-79.478187,3,100,1,mOzOYgXYOmkdNfZr453PgQ,Pho Mi Asia,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
"Red Rock Casino Resort & Spa, 11014 W Charleston Blvd",Las Vegas,NV,89135,36.1183433533,-115.3388214111,3.5,56,0,5JxlZaqCnk1MnbgRirs40Q,Cabo Mexican Restaurant,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
215 Carlingview Drive,Etobicoke,ON,M9W 5X8,43.6837428,-79.5929134,2.5,107,1,hY77DYw8mh1WT9yypK4qyA,Arizona Grill Lounge,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2827 E Bell Rd,Phoenix,AZ,85032,33.6403226,-112.0210482,4,66,0,vtGwb-yl69LT96mHVllWeA,Satisfied Frog On Bell,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
3131 N Rainbow Blvd,Las Vegas,NV,89108,36.2173961,-115.2426852,3,215,1,FykLjv4tIq618q8F2pvTKg,Krazy Buffet,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"9200 Weston Road, Unit 15",Vaughan,ON,L4H 3J3,43.8275108115,-79.5570552349,3.5,74,0,RMjCnixEY5i12CiqnskiVw,Four Star Sushi,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
3949 S Maryland Pkwy,Las Vegas,NV,89119,36.1171507743,-115.1384369476,4.5,2529,1,7sb2FYLS2sejZKxRYF9mtg,Sakana,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"9890 S Maryland Pkwy, Ste 18",Las Vegas,NV,89183,36.0101659,-115.1351604,4,59,0,5eDg_Y2N6aU_k7tIxoFXTg,Armaan Taste of India,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
2193 Babcock Blvd,Pittsburgh,PA,15209,40.510325,-79.993322,3.5,66,0,7ULRdJfVo2-Og5ZoGOECFg,Mediterrano,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"2890 Major Mackenzie DriveE, Unit 2",Markham,ON,L6C,43.8853478377,-79.3721030681,4,78,1,0M3KCmdY-_xlIu5vEqVq4A,Wonton Chai Noodle,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1104 College Street,Toronto,ON,M6H 1B3,43.6527051,-79.4323481,4.5,52,1,mw69E3vLAbN-ra92f5Y8ZQ,Black Cat Espresso Bar,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
4028 Penn Ave,Pittsburgh,PA,15224,40.4652007,-79.9568209,4,77,1,uE6hI5_i4QVq12xU99xtqA,Fazio's Pizza,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
302 College Street,Toronto,ON,M5T 3M1,43.6578089,-79.4017213,4,110,1,9LE2yGl23qxitNc9mkpbjA,Fresca Pizza & Pasta,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
5501 R C Josh Birmingham Pkwy,Charlotte,NC,28208,35.2217180765,-80.9381367266,2.5,64,1,oRmCI0p2mvlrGwilJloFTQ,PZA,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1105 N Higley Rd,Mesa,AZ,85205,33.4357812,-111.7185719,3,97,1,x5iQFVJkFl7fSXC6uVjwPw,Matta's Mexican Grill,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
515 S Midvale Blvd,Madison,WI,53711,43.0548519,-89.450401,3.5,123,1,TQqhfjlPVEz41K_wAogQSQ,Luigi's,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1310 Boulevard de Maisonneuve E,Montréal,QC,H2L 2A5,45.520079,-73.556603,4.5,290,1,yU3p0tEBtGuZLTcsBHw9uQ,Le Passé Composé,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
707 Fremont St,Las Vegas,NV,89101,36.1673570366,-115.1388166897,4,761,1,eYJcI9cI6-kJ2NQpYdHcLw,Downtown Terrace,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"3775 Spring Mountain Rd, Ste 306",Las Vegas,NV,89102,36.1256919851,-115.1899323966,2.5,478,1,8F-UdXe_YylX3k0L1SEiRg,Pho Little Saigon,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
4623 E Elliott Rd,Ahwatukee,AZ,85044,33.3483620084,-111.9838858135,4,279,1,oi6mahpAmEuikfihFVDmCw,Biscuits,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
170 N Boulder Hwy,Henderson,NV,89015,36.041169884,-114.9803791568,2.5,77,1,Rf41BVuBNLsSWbCla28Tig,Capriotti's Sandwich Shop,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"668 N 44th St, Ste 108, Cofco Chinese Cultural Center",Phoenix,AZ,85008,33.4552320752,-111.9890147725,3.5,305,0,QdvROupQvDDQIaHrTGNgKA,Szechwan Palace,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
